"A1_CITY","A2_PROVINCE","B3_GENDER","B4_AGE","B5_RELIGION","B6_ETHNIC","B7_EDUCATION_LEVEL","B8_LIVED_IN_URBAN_AREA_YEARS","B9_OCCUPATION","B10_SOCIAL_CLAS","B11_HOUSEHOLD_MEMBER","C12_HOUSEHOLD_INCOME_MONTHLY_IN_MILLION_IDR","C13_TIME_OF_INCOME_RECEIPT","C14_HOUSEHOLD_EXPENDITURE_MONTHLY_IN_MILLION_IDR","C15_%_MONTHLY_EXPENDITURE_FOR_FOOD","D16_HEALTH_FACTOR","D17_PRICE_FACTOR","E18_RELIGIOUS_VALUE_IN_TYPE_OF_FOOD","E19_RELIGIOUS_VALUE_IN_EATING_PLACES","E20_RELIGIOUS_VALUE_IN_CONSUMPTION_PATTERN","E21_CUSTOM_VALUE_IN_TYPE_OF_FOOD","E22_CUSTOM_VALUE_IN_EATING_PLACES","E23_CUSTOM_VALUE_IN_CONSUMPTION_PATTERN","24_PRACTICE_OF_FOOD_CONSUMPTION_BASED_ON_RELIGIOUS_RULES","25_PRACTICE_OF_FOOD_CONSUMPTION_BASED_ON_CUSTOM_RULES","E26_BUYING_FOOD_PRODUCT_IN_THE_RIGHT_PLACE_BASED_ON_RELIGIOUS_RULES","E27_TYPE_OF_DISHES_VARIATION_BASED_ON_RELIGIOUS_RULES","E28_PRACTICE_OF_CONSUMING_TRADITIONAL_FOOD","SOURCE_FILE","PROCESS_DATE"
"JAKARTA","DKI JAKARTA","MALE","53","CATHOLIC","BATAK","MASTER AND DOCTORAL DEGREE","12","PRIVATE EMPLOYEES","LOWER CLASS","8","03:04:00","DAILY","03:01:00","67","DISAGREE","STRONGLY AGREE","STRONGLY AGREE","AGREE","STRONGLY AGREE","STRONGLY AGREE","DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","MALE","57","ISLAM","JAVA","PRIMARY SCHOOL","22","PRIVATE EMPLOYEES","MIDDLE CLASS","7","04:01:00","WEEKLY","04:04:00","36","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","46","ISLAM","JAVA","BACHELOR DEGREE","22","PRIVATE EMPLOYEES","LOWER CLASS","7","05:08:00","WEEKLY","05:04:00","42","DISAGREE","AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","AGREE","NEITHER AGREE NOR DISAGREE","DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","AGREE","STRONGLY AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","53","ISLAM","JAVA","BACHELOR DEGREE","22","PRIVATE EMPLOYEES","LOWER CLASS","7","02:03:00","DAILY","01:09:00","73","DISAGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","MALE","58","ISLAM","JAVA","BACHELOR DEGREE","28","PRIVATE EMPLOYEES","MIDDLE CLASS","7","04:02:00","WEEKLY","04:05:00","41","STRONGLY AGREE","STRONGLY AGREE","AGREE","STRONGLY AGREE","AGREE","AGREE","AGREE","AGREE","AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","62","CATHOLIC","JAVA","SENIOR HIGH SCHOOL","11","PRIVATE EMPLOYEES","MIDDLE CLASS","5","05:09:00","WEEKLY","04:05:00","33","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","STRONGLY AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","MALE","41","ISLAM","BUGIS","BACHELOR DEGREE","25","TEACHER/LECTURER","UPPER CLASS","6","11:04:00","MONTHLY","11:00:00","19","STRONGLY AGREE","STRONGLY DISAGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","MALE","61","ISLAM","JAVA","PRIMARY SCHOOL","34","TEACHER/LECTURER","LOWER CLASS","6","03:00:00","DAILY","02:06:00","69","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","23","ISLAM","JAVA","BACHELOR DEGREE","23","GOVERNMENT EMPLOYEES","UPPER CLASS","6","15:07:00","MONTHLY","15:03:00","23","STRONGLY AGREE","STRONGLY DISAGREE","STRONGLY AGREE","STRONGLY AGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","27","PROTESTANT","BATAK","SENIOR HIGH SCHOOL","27","GOVERNMENT EMPLOYEES","UPPER CLASS","6","13:02:00","MONTHLY","12:08:00","25","STRONGLY AGREE","STRONGLY DISAGREE","AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","38","PROTESTANT","BATAK","MASTER AND DOCTORAL DEGREE","12","GOVERNMENT EMPLOYEES","LOWER CLASS","6","03:04:00","DAILY","03:01:00","57","DISAGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DISAGREE","AGREE","DISAGREE","DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","24","PROTESTANT","JAVA","BACHELOR DEGREE","24","GOVERNMENT EMPLOYEES","UPPER CLASS","7","06:08:00","WEEKLY","06:05:00","43","AGREE","STRONGLY DISAGREE","AGREE","STRONGLY AGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","33","ISLAM","BATAK","SENIOR HIGH SCHOOL","32","GOVERNMENT EMPLOYEES","LOWER CLASS","5","04:08:00","WEEKLY","04:05:00","38","NEITHER AGREE NOR DISAGREE","AGREE","STRONGLY AGREE","AGREE","STRONGLY AGREE","STRONGLY AGREE","AGREE","AGREE","AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","27","ISLAM","OTHER","MASTER AND DOCTORAL DEGREE","27","POLICE OFFICER/ARMY","LOWER CLASS","6","02:09:00","DAILY","02:06:00","61","DISAGREE","STRONGLY AGREE","STRONGLY AGREE","AGREE","AGREE","STRONGLY AGREE","AGREE","AGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","54","ISLAM","OTHER","SENIOR HIGH SCHOOL","24","POLICE OFFICER/ARMY","LOWER CLASS","5","03:05:00","DAILY","03:02:00","58","STRONGLY DISAGREE","AGREE","STRONGLY AGREE","AGREE","AGREE","STRONGLY AGREE","AGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","30","PROTESTANT","JAVA","SENIOR HIGH SCHOOL","30","PRIVATE EMPLOYEES","MIDDLE CLASS","5","05:07:00","WEEKLY","05:04:00","34","DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","AGREE","DISAGREE","NEITHER AGREE NOR DISAGREE","DISAGREE","DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","61","CATHOLIC","SUNDA","BACHELOR DEGREE","31","PRIVATE EMPLOYEES","UPPER CLASS","6","11:03:00","MONTHLY","11:00:00","26","STRONGLY AGREE","STRONGLY DISAGREE","AGREE","AGREE","AGREE","AGREE","AGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","MALE","24","ISLAM","JAVA","BACHELOR DEGREE","24","GOVERNMENT EMPLOYEES","LOWER CLASS","6","02:07:00","DAILY","02:03:00","57","DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","MALE","33","ISLAM","JAVA","BACHELOR DEGREE","33","POLICE OFFICER/ARMY","UPPER CLASS","7","10:01:00","MONTHLY","09:07:00","24","STRONGLY AGREE","STRONGLY DISAGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","31","PROTESTANT","JAVA","DIPLOMA","31","PRIVATE EMPLOYEES","UPPER CLASS","6","12:05:00","MONTHLY","12:01:00","27","AGREE","DISAGREE","AGREE","STRONGLY AGREE","AGREE","AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","MALE","25","PROTESTANT","JAVA","DIPLOMA","25","PRIVATE EMPLOYEES","LOWER CLASS","6","03:02:00","DAILY","02:08:00","67","NEITHER AGREE NOR DISAGREE","DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","34","ISLAM","JAVA","BACHELOR DEGREE","24","PRIVATE EMPLOYEES","MIDDLE CLASS","7","06:02:00","WEEKLY","05:08:00","36","NEITHER AGREE NOR DISAGREE","DISAGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","MALE","28","ISLAM","JAVA","MASTER AND DOCTORAL DEGREE","22","ENTERPRENEUR","UPPER CLASS","8","06:04:00","WEEKLY","06:00:00","42","STRONGLY AGREE","STRONGLY DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","MALE","35","ISLAM","JAVA","BACHELOR DEGREE","15","ENTERPRENEUR","LOWER CLASS","7","03:07:00","DAILY","03:03:00","73","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","STRONGLY AGREE","AGREE","AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","MALE","63","ISLAM","JAVA","BACHELOR DEGREE","32","ENTERPRENEUR","MIDDLE CLASS","7","05:09:00","WEEKLY","05:05:00","41","STRONGLY AGREE","AGREE","STRONGLY AGREE","AGREE","STRONGLY AGREE","STRONGLY AGREE","AGREE","AGREE","AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","41","ISLAM","SUNDA","BACHELOR DEGREE","21","ENTERPRENEUR","MIDDLE CLASS","7","06:07:00","WEEKLY","06:03:00","33","STRONGLY AGREE","AGREE","AGREE","STRONGLY AGREE","AGREE","AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","30","ISLAM","JAVA","BACHELOR DEGREE","30","GOVERNMENT EMPLOYEES","UPPER CLASS","7","10:09:00","MONTHLY","10:05:00","19","AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","AGREE","STRONGLY AGREE","STRONGLY AGREE","AGREE","AGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","AGREE","AGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","27","CATHOLIC","BATAK","SENIOR HIGH SCHOOL","27","GOVERNMENT EMPLOYEES","LOWER CLASS","5","03:09:00","DAILY","03:05:00","69","DISAGREE","AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","32","CATHOLIC","BATAK","DIPLOMA","22","GOVERNMENT EMPLOYEES","UPPER CLASS","6","09:08:00","MONTHLY","09:04:00","23","DISAGREE","DISAGREE","STRONGLY AGREE","AGREE","STRONGLY AGREE","STRONGLY AGREE","AGREE","AGREE","AGREE","DISAGREE","NEITHER AGREE NOR DISAGREE","DISAGREE","DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","29","ISLAM","JAVA","BACHELOR DEGREE","29","GOVERNMENT EMPLOYEES","UPPER CLASS","6","09:06:00","MONTHLY","09:02:00","25","AGREE","STRONGLY DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","MALE","31","ISLAM","JAVA","BACHELOR DEGREE","31","GOVERNMENT EMPLOYEES","LOWER CLASS","6","03:06:00","DAILY","03:02:00","58","DISAGREE","STRONGLY AGREE","AGREE","AGREE","AGREE","STRONGLY AGREE","AGREE","AGREE","AGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","NEITHER AGREE NOR DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
"JAKARTA","DKI JAKARTA","FEMALE","27","ISLAM","SUNDA","BACHELOR DEGREE","27","PRIVATE EMPLOYEES","MIDDLE CLASS","6","05:07:00","WEEKLY","05:03:00","44","DISAGREE","DISAGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","NEITHER AGREE NOR DISAGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","STRONGLY AGREE","DISAGREE","NEITHER AGREE NOR DISAGREE","DISAGREE","DISAGREE","DATASET_CULTURAL DIMENSION OF FOOD CONSUMPTION.XLSX","2025-10-25"
